,t,survival_rate,expected_benefit,net_single_premium
307,307,1.5855091449868255,298.1774971765594,36088.93809735714
308,308,1.580752617551865,297.2829646850298,35969.71440318148
309,309,1.5760103596992092,296.3911157909747,35850.79359568893
310,310,1.5712823286201116,295.5019424436017,35732.17449229745
311,311,1.5665684816342513,294.6154366162709,35613.8559126031
312,312,1.5618687761893486,293.7315903064221,35495.83667836676
313,313,1.5571831698607805,292.8503955355029,35378.11561350063
314,314,1.5525116203511982,291.9718443488964,35260.69154405496
315,315,1.5478540854901446,291.0959288158497,35143.563298204586
316,316,1.5432105232336741,290.2226410294021,35026.72970623568
317,317,1.5385808916639732,289.35197310631395,34910.18960053231
318,318,1.5339651489889812,288.483917186995,34793.941815563114
319,319,1.5293632535420143,287.6184654354339,34677.985187868
320,320,1.5247751637813882,286.75561003912765,34562.318556044724
321,321,1.520200838290044,285.8953432090103,34446.940760735626
322,322,1.515640235775174,285.03765717938325,34331.85064461424
323,323,1.5110933150678485,284.1825442078451,34217.04705237203
324,324,1.506560035122645,283.3299965752216,34102.52883070501
325,325,1.502040355017277,282.4800065854959,33988.29482830043
326,326,1.497534233952225,281.63256656573947,33874.3438958235
327,327,1.4930416312503685,280.78766886604217,33760.67488590405
328,328,1.4885625063566175,279.9453058594441,33647.28665312319
329,329,1.4840968188375476,279.10546994186575,33534.17805400006
330,330,1.4796445283810349,278.2681535320402,33421.34794697848
331,331,1.4752055947958918,277.43334907144407,33308.79519241367
332,332,1.470779978011504,276.6010490242297,33196.51865255893
333,333,1.4663676380774695,275.771245877157,33084.51719155237
334,334,1.461968535163237,274.94393213952554,32972.78967540358
335,335,1.4575826295577472,274.11910034310694,32861.33497198038
336,336,1.453209881669074,273.29674304207754,32750.151950995452
337,337,1.4488502520240667,272.47685281295134,32639.239483993137
338,338,1.4445037012679944,271.6594222545125,32528.596444336086
339,339,1.4401701901641903,270.844443987749,32418.22170719198
340,340,1.4358496795936977,270.03191065578574,32308.114149520246
341,341,1.4315421305549165,269.22181492381833,32198.27265005878
342,342,1.4272475041632517,268.41414947904684,32088.696089310637
343,343,1.422965761650762,267.60890703060966,31979.383349530748
344,344,1.4186968643658098,266.80608030951794,31870.33331471264
345,345,1.4144407737727123,266.00566206858934,31761.544870575133
346,346,1.4101974514513942,265.2076450823836,31653.016904549073
347,347,1.40596685909704,264.41202214713644,31544.74830576402
348,348,1.401748958519749,263.61878608069503,31436.737965034965
349,349,1.3975437116441896,262.82792972245295,31328.984774849043
350,350,1.393351080509257,262.0394459332856,31221.487629352217
351,351,1.3891710272677293,261.2533275954857,31114.24542433602
352,352,1.385003514185926,260.4695676126992,31007.257057224237
353,353,1.3808485036433682,259.6881589098611,30900.52142705959
354,354,1.3767059581324381,258.9090944331316,30794.037434490478
355,355,1.3725758402580408,258.13236714983213,30687.80398175763
